# ShellCheck 0.11.0
# Cold per-root RSS (KiB), macOS arm64, 2026-09-23; not a heap limit.
# Refresh using fm-lint.sh header; stale source-closure fingerprints run alone.
# root	source_closure_sha256	max_rss_kib
bin/fm-gemini-lib.sh	48a46c635856e466d9488f9d98afee573946733d332be8702f1da51a7fd1d7c1	25648
bin/fm-guard.sh	091f238602770fa1aca84797d40be8fd4aa4dd380e32e4c0e3ece06267f8ee57	599296
bin/fm-harness.sh	8bb38abcf49528ebac89866c3c1daa9892475857ad03720809277bd11120923e	86208
bin/fm-herdr-ci-cleanup.sh	b1c7db6dbd15b2fc659a9622e0f370f1cc7eb0c550fe9e187ed5cb692a0da56c	26624
bin/fm-herdr-lab.sh	19541bb33e04f053a5d44008492c6af944ad5d224614e53a192089ebe9654510	78944
bin/fm-herdr-session-cleanup.sh	0c085f19f5c45f66f08ea1c201374818b3b4cad4c6201b852832656ebc3e8797	1044720
bin/fm-home-migration-lib.sh	3024e36d2e981fbafbff4695333c198c833f9df62e8fccfe7e84bc0f27493efd	595136
bin/fm-home-route-lib.sh	0c1f602e29cc4acaefa0716627cb2788e7dd634c885b33b166366cbcdbe644d3	24576
bin/fm-home-seed.sh	fd8482ce71d8f565c04393d2f50fe9fd93390dd5897dae1b42eaef93aeff25e7	807184
bin/fm-home-summary-refresh.sh	cd7ef2dbba1456f8d35fed2c157e54b5d7bc087ede550f209658f31bc25bcd44	628928
bin/fm-hook-host-lib.sh	25e22dd44b5f2cd27a3fa4845b08dc400abee4126dc406b9500126cc749f55ab	20224
bin/fm-inactive-reconcile.sh	6b469b47edd68315fbee66730dd958d444c9bf2b9f8289ca7f9f60eac1dd4632	1002768
bin/fm-inbox.sh	2f110fd28aa9e4c1f30a62c19037e23447fd1b69d23b11fad8b83906822de1a9	51280
bin/fm-install-actionlint.sh	3d70ec6019ae82a1b4dc9058b92175e5fb6f90860629d1dd6aba7afadf2730e6	24656
bin/fm-install-herdr.sh	3aaa21d5573b679aabb54ccad5fad51a49f4ec14ae7c3f97da482945fd7bf681	24544
bin/fm-install-shellcheck.sh	c1fa1dc42e8b4a12f470c797338d0d75280f0e03bb1bb1c39dcdb7f35fda12fa	24672
bin/fm-install-treehouse.sh	c3d5a3346c495c46df89be2c08e6d43bfc827cc9fb06ea4668749d87928533c9	25584
bin/fm-kimi-turnend-hook.sh	39cca1926d7992abde6be107d842500770913fd13fc0a56bd30eefa6d00bf7e5	22384
bin/fm-landed-lib.sh	a2d135421379405b084a9f9bdc7c69dd237e1d4b7f5303bc01875cd0fb7a8c28	19984
bin/fm-lease-lib.sh	18082e11e502fb489735be8143fb88c340fa4cba13bb5e9158aefd8f4a76d5f7	31792
bin/fm-lease.sh	98ae0a4e6cc12acd289102504146e146de061050d2b6f89f1faaf71539d6411d	632048
bin/fm-line-cap-lib.sh	d8cefc9fb9dfa1815b79e345ca407f2b511ffcb5be47c91ffd73fa61334c2fe7	22576
bin/fm-lint-workflows.sh	81596ddfffd918b4cebe6d1465751a26541d0597faf445b6ba90c20ec5d7d014	27648
bin/fm-lock-lib.sh	9e6cebc6293a8c243637a4a53965fb96d6c1fd5bc921a65a57056e84c7d289d1	26688
bin/fm-lock.sh	ec87b578d77c69dbcff91d9904913c97e88afc2483b89ea1522d2a583c3688f9	639216
bin/fm-mail-check.sh	385230176a17f1a57eae97a2586674c9dc98abb5328dd34aa044353b7829cb6f	324864
bin/fm-mail.sh	121ce6e524c408bc9f96f068fb86c4f4d27858c5f7d0b91e20f6fd082f929fc0	1361136
bin/fm-marker-lib.sh	bf094721b6b2e4f393f40dde029c6632a929a9dd600c469b5a2b0f8ef5ee7911	44176
bin/fm-merge-authority-lib.sh	577d8661dfe1b79d8a2bca5338c99dec00c320b7732d1d63e5e682a450ba3764	741616
bin/fm-merge-local.sh	71deda8395c88f5c7f82be0b307982adbb308f50ba4c9c294100945b2546a947	1094896
bin/fm-merge-outcome-lib.sh	b26874c7b74da6c293282a7759e05694b40deba3de00a469c63965040409e61a	836864
bin/fm-nm-run-lib.sh	23b4830ac0f55c73829d28c88ed5bc930b3d853fad1a0ac665b4896edacd5271	44096
bin/fm-on.sh	427f4b3644b134d8b741cbe11e4c8a6627bc5e8244f6a2d64575e298194cf24f	87232
bin/fm-operational-input.sh	9dd88750fafab20295d1af835ddeb942299786adcf733552b84bb42da3795d2c	40048
bin/fm-parent-channel-lib.sh	5b7e51d6b75fecec97e1eaf1f8f755b8c5ab5c26b53ca11b7bc98f242f88d057	34960
bin/fm-peek.sh	2105d3479ff6554d76fa5303ae00920185fe2faa114c3a6dce66a75c878a94ed	128176
bin/fm-pending-reply-lib.sh	573495e08fa5ece177365e28bc7fe4f26545e3f71a3de5206ebf6015a9615ca9	2748640
bin/fm-pr-check.sh	36ffc837c315c50af569e3ea3f10284380bfe97b4050b5c4b328d2005265b6ed	936176
bin/fm-pr-lib.sh	651934bdb87935ea052477a97a7765da81563c76d1c68c8fd32da664943bfba3	221360
bin/fm-pr-merge.sh	4f2231d3d89304889a4aac1e338f0474dcfafd5999d2230c719852c1436abd80	3405056
bin/fm-pr-poll.sh	af6abe61dc0025dd730436d19d802899e326ca05f70bf62e42c1ea0d5bf6bee1	28624
bin/fm-primary-scope-lib.sh	b7a29d01160cd652bfc87c29e2dc384cef5ad34557fe653fc61138dd00fafff9	23520
bin/fm-procevent-lavish.sh	39c3dd3615bb8ed70ba299b46ea52c7a6a03569e768e0c74a03760162915dfb2	1065232
bin/fm-procevent-lib.sh	1f30e704e2afaef2659718f9a6f75f8b176e12aa483998670482b6cd3557e8dc	168128
bin/fm-procevent-quota.sh	a51cd5ce985339d5123de4914886c48468051f50da224252f94327c6eb06f024	1095920
bin/fm-procevent-remote-reply.sh	54fb0b7dad869feabb4532177a3f83e0570a22b8f698ba362d20059298008e18	3266672
bin/fm-procevent-when.sh	d897e43758e077917189bce524ac7a01e11d2dab1aa8734f9be0e3290e90e1c5	1202432
bin/fm-procevent.sh	89dbb191fae385566eec973724db81a38e138c8d5ec59e0f7086a1a1568db52c	1418064
bin/fm-project-mode.sh	e04e7c70b4520bb915deb6336242e373105e1af6c6b50b9b80eba4130df8af04	24448
bin/fm-project-origin-lib.sh	53c53f7082efcfa128f02c2fc9f7ebdc37996a9d2ff3a43250eda09adfbc5087	28528
bin/fm-promote.sh	cd344c5db7fb12f7ec34a97af6e04939439f7b181fcdcd7b2f247a796c7fee03	2348192
bin/fm-public-followup-collect.sh	cd64f5119ecc5a80cec1f1a827aaa4941c6c7e06ef020d40d754ce638eaf66a7	1116416
bin/fm-public-followup-emit.sh	bf4e10a6d3a86ab451c2904edf24c47da1828c487c328b9ec60e250a04782d29	1202432
bin/fm-public-followup-lib.sh	34901c3b05b5f5246fb9398241122851e4cb85ef3802120720dd10c49c35fdfe	951536
bin/fm-public-followup.sh	1e7ec3b7bb039fcfc071a733a7e6f5ef6df6d43407b5a366928fc2de58500e2c	1489184
bin/fm-push-transition-lib.sh	f1f0842e08f841491c904fa7064c43200df0469a8dbdab4431994c51f9c00203	975104
bin/fm-quota-axi-lib.sh	720adad522aa1b0bd853579c2ebe7de51377884f486c79ee69e58375dbd22326	32832
bin/fm-quota-choose.sh	bd3b2d36ebfd84a1c7dee60126010c340de1cd029da777bc68aae0b2adf28342	66672
bin/fm-remote-delta-read.sh	a91af3aa99d6d959f0a97e44294131346f5cd6b2f23d73a17213f8347f2f17ba	46192
bin/fm-remote-doctor.sh	a6556170ca663ff64509af7603a87eb8859aebeb24d0d0deff6fd2580e2f7edb	1298688
bin/fm-remote-entrypoint.sh	38c5b494a8e53c1730428515f714732c61262aea11f776362b53d9c532e2761e	1005760
bin/fm-remote-file.sh	42f913032ffdc10426fa18fad636842de19d8c060f69fd3ca6d13c3e0b837de4	652528
bin/fm-remote-herdr-guard.sh	0fd132a7b4f424c9bcedc120d5491874d71435b3b3abfd9b800600d515c182db	46240
bin/fm-remote-herdr-owner-lib.sh	491de29edcd00865bd52a051001197c89ef5e37f1b4b9573a8f34cfe0e88070e	32848
bin/fm-remote-home-migrate.sh	dc0b7b0709767688b11528fb135369e5cc39ec347a68168c25bb88c7e71bc7f0	1667520
bin/fm-remote-home-provision.sh	3003f0775e7f94c2ab90495dd73472b9788fb69c58ade351bbd03729754f3f30	1383184
bin/fm-remote-home-seed.sh	f7753e159d639c4e305ee68fa2cdd3973e728e304c51795eda2bd9b19cd13984	759024
bin/fm-remote-inherit-push.sh	4b2c0439c07d68eb56c237c68b96aa86c39946999c63d3e0d560d14763e2410e	303296
bin/fm-remote-inherit.sh	07172aa89b3a8aaed5a6dfb7284549ecac49e2b72d19597c17d17d76d2f2afd5	813744
bin/fm-remote-job-lib.sh	8285b5d7ba41dd8ce2279d09bb3e1ac488a87c954ac4a5a1f06e2a3c9ba7b4df	897808
bin/fm-remote-job-reap-orphans.sh	b2d78046bc58cc8ed54bc2a49df4f251c3023196ed80be978b47f55fba2a1759	977088
bin/fm-remote-job-worker.sh	61b6fa3c38da0325290365d5a4d63e4da768d3e611689bcce3b3a52bd2579649	1159488
bin/fm-remote-readiness-lib.sh	1dff0540a8c7031254770226006d5c6a18c939ed564a7e2b2d344131c69571e6	23456
bin/fm-remote-secondmate-control.sh	01ca962885b6f6ea8e8b7029c71a3ffd7a0107dbc896b6be6ca15d1917857771	2690560
bin/fm-retire-endpoint.sh	b420106e2d3d3c40fb9ebe608c74e0333fae445567e975dc4c02c2b8f1dcd636	543472
bin/fm-review-diff.sh	526ec8c60e6ff17fb617debb9ca5d1ad8969043d84c7c8c8ebdeb7f990d51bb2	38912
bin/fm-secondmate-charter-lib.sh	f737ac1b75e84a0d4da14d2142c03deb77df3ff18f8722a0c565a290d20b7476	22368
bin/fm-secondmate-nudge-lib.sh	6b3cd9289aa2156a4c6b7e6d0ea58a54bdc7fac5b72425bd3126cc2437c4b802	30880
bin/fm-secondmate-parent-lib.sh	e82407aadd7bdb586f5763201bdca18d2478bbfdf44034d428f75027af981bea	25600
bin/fm-secondmate-reconcile.sh	9d5b46e40ede0e71cec3fcf309a1dfbf5e28da22d822673cbeb92ec2d7a470e6	671472
bin/fm-secondmate-registry-lib.sh	dcaada64290489312e22fdd6ee8c26531deb67d9260b643ab24febf19c38b97f	58496
bin/fm-secondmate-report.sh	1a356a0c56e9928867c6817d0ed047c76c3345465d620313eaeee666cdb95bc1	3192592
bin/fm-secondmate-restart-lib.sh	237d531006d89f68862c9fa4ab6bb48062206475a5e8110b4fd1a92f4f5ab4ba	140448
bin/fm-secondmate-restart.sh	e51169240841e5cab535d78f9f515710253bcdf5acccd4e4648a4b17fd76b7cf	2842496
bin/fm-send.sh	e86d24d6629fac65ba157459e85cfbfef72f702bf7d07f2e46756a92d41b1969	4368816
bin/fm-session-lock-lib.sh	31d5433439caf1f43c20a912094b15ecd13ad11f5ab646602f8ddd54053f7fa2	49312
bin/fm-session-start.sh	f019661eaf54bfd331f7d14db62880f5869252fa9fff08d9152ccedd97591781	1834880
bin/fm-sessionstart-cursor.sh	9a401bf54a0489cce223ccf4901d57e02e8e6522878576aed61d43b75ed95bc4	21376
bin/fm-sessionstart-nudge.sh	63e6a528694b9cb989036236be4bb29f897a1510e4c53a872be06a6634efc73e	54448
bin/fm-sessionstart-run.sh	f67560f3f04b9679ad72ab16cd872787810c068b7e468e6db7387b14effe1c70	71888
bin/fm-spawn.sh	ffa847c49a7892b4d9cc60ee26ebbf7eaaff8375d84bd25c181e3c8a1067fc78	4353072
